abbreviation,meaning
thcs,trung học cơ sở
thpt,trung học phổ thông
tàu cộng,trung quốc
tq,trung quốc
trung cộng,trung quốc
tw,trung ương
trc,trước
trk,trước
tư bổn,tư bản
tbcn,tư bản chủ nghĩa
tutu,từ từ
tư'k,tức
tuk,tức
tứk,tức
tục tiểu,tục tĩu
tụt tĩu,tục tĩu
tùng xói,tùng sói
nai xừ,tuyệt vời
toẹt vời,tuyệt vời
tf,twisted fate
ờ,ừ
uk,ừ
ukm,ừ
ùm,ừ
ũa,ủa
úi zồi,úi trời
un,ủn
ubkttp,uỷ ban kiểm tra thành phố
v~,vãi
voãi,vãi
vcd,vãi cả đái
vcđ,vãi cả đái
vaicalon,vãi cả lồn
vcl,vãi cả lồn
vkl,vãi cả lồn
zcl,vãi cả lồn
vc,vãi cặc
vãi chg,vãi chưởng
vch,vãi chưởng
vcc,vãi con cặc
vaicut,vãi cứt
vcut,vãi cứt
vđ,vãi đái
vđái,vãi đái
vãi lờ,vãi lồn
vại lòn,vãi lồn
vãi lồng,vãi lồn
vailin,vãi lồn
vailon,vãi lồn
vailone,vãi lồn
vailou,vãi lồn
veler,vãi lồn
velu,vãi lồn
vl,vãi lồn
vler,vãi lồn
vlin,vãi lồn
vliz,vãi lồn
vlol,vãi lồn
vlon,vãi lồn
vlòn,vãi lồn
vlone,vãi lồn
vloz,vãi lồn
zl,vãi lồn
vải lờ,vải lồn
zăn,văn
zấn,vấn
vẩn,vẫn
vde,vấn đề
vđề,vấn đề
vđv,vận động viên
vh,văn hóa
vp,văn phòng
bla bla,vân vân
blabla,vân vân
dàng,vàng
zật,vật
dạ,vậy
dị,vậy
dzay,vậy
dzị,vậy
v,vậy
vại,vậy
z,vậy
zạ,vậy
zay,vậy
zầy,vậy
zạy,vậy
zậy,vậy
zị,vậy
zọ,vậy
v bạn,vậy bạn
v s,vậy sao
dzìa,về
zề,về
zìa,về
vsinh,vệ sinh
dẹo,vẹo
zi,vi
vai rớt,vi rút
vi rut,vi rút
virus,vi rút
virut,vi rút
vicorona,vi rút corona
vtri,vị trí
di chùng,vi trùng
di trùng,vi trùng
clip,video
lip,video
vd,video
vid,video
music video,video âm nhạc
mv,video âm nhạc
chai lơ,video giới thiệu
trailer,video giới thiệu
đông lào,việt nam
vietnam,việt nam
vn,việt nam
vnam,việt nam
ziệc nam,việt nam
vnch,việt nam cộng hòa
vê lóc,vlog
vê lốc,vlog
vờ lốc,vlog
dô,vô
dzo,vô
zo,vô
zô,vô
quơ,vơ
dzợ,vợ
vcung,vô cùng
dô văn quá,vô văn hoá
dí,với
vs,với
zs,với
dú,vú
dzú,vú
vếu,vú
zú,vú
zụ,vụ
dzũ chụ,vũ trụ
giủ chụ,vũ trụ
zừa,vừa
dui,vui
dzui,vui
zui,vui
zui tánh,vui tính
dzui dzẻ,vui vẻ
vv,vui vẻ
zui zẻ,vui vẻ
xahoi,xã hội
xh,xã hội
xhcn,xã hội chủ nghĩa
xhcnvn,xã hội chủ nghĩa việt nam
xhcs,xã hội cộng sản
sa sỉ,xa xỉ
xa sĩ,xa xỉ
xac,xác
jombie,xác sống
zom,xác sống
zombie,xác sống
sài,xài
sàm,xàm
săm,xăm
xâm,xăm
xàm lol,xàm lồn
xờ lờ,xàm lồn
láo,xạo
phét,xạo
sạo,xạo
xạo lồng,xạo lồn
xaolol,xạo lồn
xaolon,xạo lồn
xaoloz,xạo lồn
xiaolin,xạo lồn
xộn lào,xạo lồn
sấu,xấu
xẩy,xảy
xp,xem phim
xemes,xemesis
hịn,xịn
sịn,xịn
hé lo,xin chào
hé lô,xin chào
hế lô,xin chào
só di,xin lỗi
sorry,xin lỗi
sr,xin lỗi
xloi,xin lỗi
sỉu,xỉu
xĩu,xỉu
delete,xoá
xg,xong
xog,xong
xoq,xong
sử phạt,xử phạt
xklđ,xuất khẩu lao động
xức sắc,xuất sắc
xu cà na,xui xẻo
xuốg,xuống
yte,y tế
r i p,yên nghỉ
r.i.p,yên nghỉ
rest in peace,yên nghỉ
rip,yên nghỉ
êu,yêu
iêu,yêu
iu,yêu
y3u^,yêu
yeu,yêu
yew,yêu
y/c,yêu cầu
ysl,yếu sinh lý
iu thưn,yêu thương
diu túp,youtube
du túp,youtube
yt,youtube
c*t,cứt
ytb,youtube
